Project Name,Sample ID,File Name,Depth,Datetime,End Date,Biome,Environmental Feature,Environmental Material,Prochlorococcus Count,Synechococcus Count,Temperature,Chlorophyll,Particulate Phosphorus,Particulate Carbon,Particulate Nitrogen,Particulate Silica,19'-butanoyloxyfucoxanthin,19'-hexanoyloxyfucoxanthin,Chlorophyll A,Fucoxanthin,Nitrate,Oxygen,Silicic Acid,Zeaxanthin,Salinity,Chlorophyll B
HOT ALOHA time/depth series,SAMN05991650,SRR5002342,25.8351,2010-08-07T21:06:33.000Z,"2010-08-07T20:40:00.000Z, 2010-08-07T20:40:00.000Z",marine biome,marine wind mixed layer,sea water,162100,800,25.456,101.111,9.8,2.58,0.323,2.47,0.00000402,0.00001419,53.61,0.00000456,3.082,208.6,1.08502,0.00010384,35.2136,0.005
HOT ALOHA time/depth series,SAMN05991651,SRR5002410,45.7061,2010-08-07T21:04:01.000Z,"2010-08-07T20:40:00.000Z, 2010-08-07T20:40:00.000Z",marine biome,marine wind mixed layer,sea water,172500,900,25.3467,113.18,11.7,2.27,0.296,11.31,0.0000067,0.00002064,98.285,0.00000608,2.146,209.4,1.11572,0.00010384,35.2118,0.002
HOT ALOHA time/depth series,SAMN05991652,SRR5002343,75.5089,2010-08-07T21:01:12.000Z,"2010-08-07T20:40:00.000Z, 2010-08-07T20:40:00.000Z",marine biome,marine wind mixed layer,sea water,217600,900,25.2528,161.456,10.8919,2.16,0.309,8.14,0.00001072,0.00003096,116.155,0.00001064,2.661,210.3,1.10549,0.00012144,35.2135,0.006
HOT ALOHA time/depth series,SAMN05991653,SRR5002371,125.17,2010-08-08T23:11:38.000Z,"2010-08-08T22:16:00.000Z, 2010-08-08T22:16:00.000Z",marine biome,marine wind mixed layer,sea water,127300,1200,23.1095,527.818,8.6295,1.72,0.284,4.21231,2.88E-05,7.08E-05,241.245,0.00000608,0.193,216.1,1.2331,9.69E-05,35.2639,0.074495
HOT ALOHA time/depth series,SAMN05991658,SRR5002406,25.8351,2010-09-03T21:23:29.000Z,"2010-09-03T20:53:00.000Z, 2010-09-03T20:53:00.000Z",marine biome,marine wind mixed layer,sea water,184700,900,25.6187,89.9364,10.1,2.31,0.326,12.44,0.00000402,0.00001548,62.545,0.00000304,1.576,208.3,1.1669,0.00011616,35.2372,0.007
HOT ALOHA time/depth series,SAMN05991659,SRR5002376,45.7061,2010-09-03T21:20:13.000Z,"2010-09-03T20:53:00.000Z, 2010-09-03T20:53:00.000Z",marine biome,marine wind mixed layer,sea water,199700,1100,25.5986,118.097,6.9,2.34,0.324,13.9,0.0000067,0.00002193,89.35,0.00000456,1.252,208.5,1.12596,0.00013376,35.2358,0.004
HOT ALOHA time/depth series,SAMN05991660,SRR5002341,75.5089,2010-09-03T21:16:13.000Z,"2010-09-03T20:53:00.000Z, 2010-09-03T20:53:00.000Z",marine biome,marine wind mixed layer,sea water,241100,1900,24.5858,243.257,8.2,2.2758,0.3347,12.8251,0.000012658,3.60E-05,125.09,8.33E-06,1.146,217.8,1.18738,0.000139418,35.2741,0.0153029
HOT ALOHA time/depth series,SAMN05991661,SRR5002322,125.17,2010-09-04T23:41:18.000Z,"2010-09-04T22:50:00.000Z, 2010-09-04T22:50:00.000Z",marine biome,marine wind mixed layer,sea water,48700,0,22.2564,566.617,5.7,1.06,0.195,12.4,0.00004288,0.00004257,116.155,0.00000608,1.358,205,1.47398,0.00002992,35.2738,0.138
HOT ALOHA time/depth series,SAMN05991666,SRR5002402,25.8352,2010-10-03T20:34:05.000Z,"2010-10-03T20:07:00.000Z, 2010-10-03T20:07:00.000Z",marine biome,marine wind mixed layer,sea water,214000,1200,26.0483,152.069,5.7,2.73,0.395,12.65,0.0000067,0.00002064,98.285,0.00000608,1.959,209.2,1.09525,0.0001232,35.2948,0.005
HOT ALOHA time/depth series,SAMN05991667,SRR5002337,45.7061,2010-10-03T20:31:21.000Z,"2010-10-03T20:07:00.000Z, 2010-10-03T20:07:00.000Z",marine biome,marine wind mixed layer,sea water,214800,1500,26.022,158.774,6,2.59,0.355,6.15,0.0000067,0.00002451,89.35,0.0000076,1.957,209.5,1.08502,0.00012848,35.2899,0.004
HOT ALOHA time/depth series,SAMN05991668,SRR5002334,75.509,2010-10-03T20:28:20.000Z,"2010-10-03T20:07:00.000Z, 2010-10-03T20:07:00.000Z",marine biome,marine wind mixed layer,sea water,270400,1400,25.5631,307.178,3.8,2.63,0.399,11.1,0.00001474,0.00004902,196.57,0.00001064,1.717,211.5,1.18738,0.00015136,35.25,0.019
HOT ALOHA time/depth series,SAMN05991673,SRR5002319,25.8351,2010-11-22T06:43:44.000Z,"2010-11-22T05:46:00.000Z, 2010-11-22T05:46:00.000Z",marine biome,marine wind mixed layer,sea water,220000,1000,25.1241,92.3502,6.3,1.8,0.269,9.93,0.0000067,0.00001677,71.48,0.00000456,2.225,207.6,1.11572,0.00011616,35.2442,0.004
HOT ALOHA time/depth series,SAMN05991674,SRR5002381,45.7061,2010-11-22T06:41:23.000Z,"2010-11-22T05:46:00.000Z, 2010-11-22T05:46:00.000Z",marine biome,marine wind mixed layer,sea water,224400,1200,25.083,152.248,6.6,1.86,0.282,9.52,0.00001206,0.00003096,98.285,0.00000608,2.292,207.7,1.12596,0.00012496,35.2435,0.011
HOT ALOHA time/depth series,SAMN05991675,SRR5002310,75.5088,2010-11-21T23:27:32.000Z,"2010-11-21T22:35:00.000Z, 2010-11-21T22:35:00.000Z",marine biome,marine wind mixed layer,sea water,232100,1000,25.1119,152.159,7.6,1.6,0.252,11.89,0.00001474,0.0000387,134.025,0.0000076,2.902,206.9,1.1362,0.00010736,35.2553,0.011
HOT ALOHA time/depth series,SAMN05991676,SRR5002412,125.171,2010-11-21T23:24:58.000Z,"2010-11-21T22:35:00.000Z, 2010-11-21T22:35:00.000Z",marine biome,marine wind mixed layer,sea water,104117,405.778,23.6295,586.017,2.24067,1.61362,0.301007,12.9998,4.95E-05,7.25E-05,244.572,7.42E-06,1.956,213.4,1.06454,8.32E-05,35.1938,0.131936
HOT ALOHA time/depth series,SAMN05991681,SRR5002362,125.171,2011-01-29T23:01:31.000Z,"2011-01-29T22:09:00.000Z, 2011-01-29T22:09:00.000Z",marine biome,marine wind mixed layer,sea water,86471.4,328.421,21.4483,717.614,9.5,1.43,0.265,18.4976,0.00007906,0.00012642,276.985,0.00001368,2.027,209.2,1.48422,0.00006512,35.2969,0.159
HOT ALOHA time/depth series,SAMN05991686,SRR5002350,25.8352,2011-04-11T17:58:50.000Z,"2011-04-11T16:56:00.000Z, 2011-04-11T16:56:00.000Z",marine biome,marine wind mixed layer,sea water,157400,1200,23.915,165.748,8.5,2.11,0.315,25.31,0.0000067,0.00001677,89.35,0.00001368,0.814,211.3,0.951948,7.71E-05,35.1651,0.025
HOT ALOHA time/depth series,SAMN05991687,SRR5002405,75.5092,2011-04-11T17:51:00.000Z,"2011-04-11T16:56:00.000Z, 2011-04-11T16:56:00.000Z",marine biome,marine wind mixed layer,sea water,199700,1500,23.7545,206.514,6.9,2.23,0.327,16.78,0.00000804,0.00002193,107.22,0.00002128,0.662,212.5,0.890532,0.00008272,35.2409,0.06
HOT ALOHA time/depth series,SAMN05991688,SRR5002351,125.171,2011-04-13T01:24:01.000Z,"2011-04-13T00:09:00.000Z, 2011-04-13T00:09:00.000Z",marine biome,marine wind mixed layer,sea water,110742,545.701,22.2434,594.868,6.6,1.72,0.286,11.872,0.0000469,0.0000516,151.895,0.00000456,-0.149,207.4,1.35115,0.00005104,35.198,0.161
HOT ALOHA time/depth series,SAMN05991693,SRR5002333,25.8352,2011-05-09T20:13:40.000Z,"2011-05-09T19:51:00.000Z, 2011-05-09T19:51:00.000Z",marine biome,marine wind mixed layer,sea water,182746,1399.14,24.3528,273.117,11,2.28,0.33,15.58,0.00000536,0.00001548,80.415,0.00000912,1.868,209.1,0.788172,0.00012144,35.3028,0.01
HOT ALOHA time/depth series,SAMN05991694,SRR5002338,75.509,2011-05-09T20:08:07.000Z,"2011-05-09T19:51:00.000Z, 2011-05-09T19:51:00.000Z",marine biome,marine wind mixed layer,sea water,170300,1200,22.7002,416.157,8.2,2.02624,0.323307,10.46,0.00001072,0.00003096,187.635,0.00000912,2.691,212.2,0.900768,0.0001496,35.3778,0.031
HOT ALOHA time/depth series,SAMN05991695,SRR5002358,125.171,2011-05-10T22:43:57.000Z,"2011-05-10T21:57:00.000Z, 2011-05-10T21:57:00.000Z",marine biome,marine wind mixed layer,sea water,22000,0,21.0942,534.791,5,1.02,0.183,13.31,0.0000536,0.00005805,169.765,0.00000608,0.95,210.9,1.60705,0.00004224,35.3233,0.106
HOT ALOHA time/depth series,SAMN05991700,SRR5002382,25.8352,2011-07-19T16:53:03.000Z,"2011-07-19T16:09:00.000Z, 2011-07-19T16:09:00.000Z",marine biome,marine wind mixed layer,sea water,164900,1000,25.3523,92.2608,6.9,2.06,0.353,24.15,0.00000536,0.0000129,71.48,0.0000076,2.243,207.9,1.07478,0.00008976,34.9648,0.007
HOT ALOHA time/depth series,SAMN05991701,SRR5002353,75.5091,2011-07-19T16:46:30.000Z,"2011-07-19T16:09:00.000Z, 2011-07-19T16:09:00.000Z",marine biome,marine wind mixed layer,sea water,192200,1500,24.8686,171.827,16.7,1.78,0.287,20.49,0.00000804,0.00002193,125.09,0.00001064,2.37,212.2,1.14643,0.0001056,34.9443,0.016
HOT ALOHA time/depth series,SAMN05991702,SRR5002387,125.171,2011-07-20T23:35:15.000Z,"2011-07-20T22:42:00.000Z, 2011-07-20T22:42:00.000Z",marine biome,marine wind mixed layer,sea water,165416,995.036,23.2725,275.173,10.1,1.64464,0.281564,17.14,0.00002278,0.00005418,232.31,0.00000608,2.781,210.3,1.01228,0.00010384,35.2274,0.083
HOT ALOHA time/depth series,SAMN05991708,SRR5002392,75.5093,2011-08-30T23:17:40.000Z,"2011-08-30T22:51:00.000Z, 2011-08-30T22:51:00.000Z",marine biome,marine wind mixed layer,sea water,201600,1300,24.1306,250.141,11.3,1.82742,0.309769,48.243,0.00001742,0.00005676,214.44,0.0000076,1.528,222.4,1.15667,0.00011616,35.3345,0.063
HOT ALOHA time/depth series,SAMN05991709,SRR5002357,125.171,2011-08-31T05:22:22.000Z,"2011-08-31T04:11:00.000Z, 2011-08-31T04:11:00.000Z",marine biome,marine wind mixed layer,sea water,30800,0,20.9527,422.683,4.4,0.98,0.168,22.84,0.00003082,0.00003354,71.48,0.00000456,2.596,201.3,1.50469,0.00001936,35.242,0.085
HOT ALOHA time/depth series,SAMN05991714,SRR5002311,25.8352,2011-11-04T18:04:10.000Z,"2011-11-04T17:32:00.000Z, 2011-11-04T17:32:00.000Z",marine biome,marine wind mixed layer,sea water,240900,1700,25.8083,185.326,14.2,2.35,0.358,17.04,0.00000536,0.00002064,142.96,0.00000608,1.649,207,0.982656,0.00009328,35.2072,0.012
HOT ALOHA time/depth series,SAMN05991715,SRR5002347,75.509,2011-11-04T17:59:00.000Z,"2011-11-04T17:32:00.000Z, 2011-11-04T17:32:00.000Z",marine biome,marine wind mixed layer,sea water,171661,1038.17,24.5753,477.038,16.3311,2.09,0.351,21.1649,0.00002278,0.00005547,268.05,0.00000912,1.577,215.7,1.0623,0.00010736,35.2925,0.059
HOT ALOHA time/depth series,SAMN05991716,SRR5002373,125.171,2011-11-06T04:41:55.000Z,"2011-11-06T03:54:00.000Z, 2011-11-06T03:54:00.000Z",marine biome,marine wind mixed layer,sea water,23700,0,21.4223,328.277,7.56881,1.08,0.182,15.67,0.00002412,0.00002193,89.35,0.00000304,3.195,199.7,1.63776,0.00001232,35.2612,0.051
HOT ALOHA time/depth series,SAMN05991721,SRR5002398,25.8351,2011-11-29T06:55:55.000Z,"2011-11-29T05:36:00.000Z, 2011-11-29T05:36:00.000Z",marine biome,marine wind mixed layer,sea water,154600,3300,24.7834,347.23,16.1,1.87,0.338,16.6,0.00002814,0.00004515,241.245,0.00000912,2.877,205.3,1.01336,0.00010384,35.2386,0.035
HOT ALOHA time/depth series,SAMN05991722,SRR5002326,75.5089,2011-11-29T06:50:13.000Z,"2011-11-29T05:36:00.000Z, 2011-11-29T05:36:00.000Z",marine biome,marine wind mixed layer,sea water,155300,3100,24.7907,358.583,16.4,1.92,0.354,14.57,0.00002144,0.00003225,205.505,0.00000608,1.898,205.5,0.97242,0.00007216,35.2385,0.025
HOT ALOHA time/depth series,SAMN05991723,SRR5002364,125.171,2011-11-30T06:19:05.000Z,"2011-11-30T05:23:00.000Z, 2011-11-30T05:23:00.000Z",marine biome,marine wind mixed layer,sea water,15996.7,0,22.3931,279.643,9.75482,0.93,0.184,11.1508,0.00002412,0.00002451,62.545,0.00000304,2.232,204.2,1.24879,0.00001584,35.2995,0.061
HOT ALOHA time/depth series,SAMN05991728,SRR5002336,25.8351,2011-12-19T18:27:41.000Z,"2011-12-19T17:45:00.000Z, 2011-12-19T17:45:00.000Z",marine biome,marine wind mixed layer,sea water,214300,5000,24.2087,254.432,15.1,2.25,0.342,10.27,0.0000134,0.00003225,169.765,0.00000608,1.515,207.5,1.01336,0.00010384,35.2838,0.03
HOT ALOHA time/depth series,SAMN05991729,SRR5002330,75.5089,2011-12-19T18:21:17.000Z,"2011-12-19T17:45:00.000Z, 2011-12-19T17:45:00.000Z",marine biome,marine wind mixed layer,sea water,166400,4100,24.2059,282.683,13.9,2.24,0.34,8.6,0.00001474,0.00003225,134.025,0.00000608,1.352,207.3,1.03384,0.00010912,35.2839,0.043
HOT ALOHA time/depth series,SAMN05991730,SRR5002403,125.171,2011-12-21T03:49:19.000Z,"2011-12-21T02:45:00.000Z, 2011-12-21T02:45:00.000Z",marine biome,marine wind mixed layer,sea water,8233.33,11.1111,21.7234,156.808,6.66936,1.24186,0.207179,50.73,0.0000201,0.00001935,53.61,0.00000152,0.902,202.6,1.44328,0.00001232,35.283,0.048
HOT DeLong,SAMN02798424,SRR1303793,25.8351,2007-10-02T18:32:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,208000,1000,26.1021,170.486,10.1,2.07,0.32,16.93,0.00000804,0.00002064,91000,0.00000608,-0.353,206.3,1.25903,0.0001056,35.0779,0.009
HOT DeLong,SAMN02798425,SRR1303794,25.8351,2007-12-01T17:10:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,203000,0,25.042,129.988,12,2.21,0.35,14.23,0.0000067,0.00001806,105000,0.0000076,-3.697,207.7,0.962184,0.00011264,35.0139,0.008
HOT DeLong,SAMN02798426,SRR1303840,25.8351,2007-12-20T16:06:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,147000,6000,24.4819,275.888,10.1,2.05,0.34,18.09,0.0000134,0.0000258,137000,0.0000076,-3.527,208.3,1.48422,0.00009504,35.0346,0.019
HOT DeLong,SAMN02798427,SRR1303796,25.8351,2008-01-29T17:52:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,150000,0,23.1408,269.362,9.1,1.95,0.34,24.08,0.00002278,0.00004902,207000,0.00001216,-0.678,212.3,0.941712,0.00009152,35.1731,0.033
HOT DeLong,SAMN02798428,SRR1303797,25.8351,2008-02-23T17:29:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,204000,3000,23.5188,70.5366,7.6,2.18,0.34,14.1,0.00000536,0.00001419,94000,0.00001368,1.861,217.9,1.24879,0.00010736,35.1708,0.089
HOT DeLong,SAMN02798429,SRR1303798,25.8351,2008-05-27T17:02:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,234000,3000,25.1586,54.6234,12.6,2.41,0.39,9.72,0.00000268,0.00001161,65000,0.00000912,0.322,212.4,1.36139,0.00010384,35.1331,0.007
HOT DeLong,SAMN02798431,SRR1303800,25.8351,2008-07-26T18:23:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,160000,1000,25.9414,106.118,11,2.16,0.29,33.81,0.00000402,0.00001161,79000,0.00000912,0.587,208.1,1.21808,0.00010736,34.9629,0.007
HOT DeLong,SAMN02798432,SRR1303801,25.8351,2008-08-16T16:55:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,286000,1000,25.9384,158.059,11.4,2.58,0.37,34.35,0.00000536,0.00001806,103000,0.00000456,1.641,209.7,0.962184,0.00012848,34.9933,0.02
HOT DeLong,SAMN02798434,SRR1303803,25.8351,2008-11-30T18:21:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,211000,2000,24.889,348.213,11,2.29,0.31,18.47,0.00000938,0.00002064,132000,0.0000076,1.592,206.7,0.747228,0.00014256,35.2346,0.008
HOT DeLong,SAMN02798435,SRR1303804,25.8351,2009-01-20T18:02:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,206000,3000,23.4732,178.532,7.3,1.83,0.28,17.53,0.00000938,0.00001935,114000,0.00000912,3.812,209.7,1.12596,0.00009152,35.3196,0.014
HOT DeLong,SAMN02798436,SRR1303805,25.8351,2009-02-17T18:18:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,123000,2000,22.9097,125.428,7.6,1.83,0.24,21.33,0.0000067,0.00001548,94000,0.00000912,3.205,213.5,0.962184,0.00008272,35.331,0.01
HOT DeLong,SAMN02798437,SRR1303806,25.8351,2009-04-28T17:15:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,198000,3000,22.7554,93.2442,12,2.08,0.32,15.09,0.00000268,0.00000774,46000,0.00000608,1.623,216.9,1.04407,0.00006336,35.2697,0.004
HOT DeLong,SAMN02798439,SRR1303808,25.8351,2009-07-03T18:05:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,175000,1000,25.4732,85.4664,11.05,2.01,0.3,27.38,0.00000402,0.00001419,59000,0.00000608,3.142,209.7,1.25903,0.00010384,35.0783,0.006
HOT DeLong,SAMN02798440,SRR1303809,25.8351,2009-07-24T18:36:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,161000,1000,25.6315,75.543,12.6,1.95,0.31,22.72,0.00000402,0.0000129,70000,0.0000076,4.251,208.2,1.23856,0.00008624,35.1706,0.006
HOT DeLong,SAMN02798441,SRR1303810,25.8351,2009-08-18T17:25:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,158000,1000,25.9646,123.104,11,2.79,0.38,26.06,0.00000268,0.00001419,89000,0.00000608,1.268,207.2,0.931476,0.00012144,35.2161,0.007
HOT DeLong,SAMN02798442,SRR1303811,25.8351,2009-09-24T19:22:00.000Z,,oceanic mesopelagic zone biome,marine wind mixed layer,sea water,278000,1000,26.4595,86.5392,6.9,2.3,0.31,11.65,0.00000268,0.00000774,41000,0.00000152,1.261,204.5,1.03384,0.00006512,35.4759,0.004